asset_id,generator,zone,technology,cost_key,installed_capacity,p_min_mw,availability_factor,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,commissioning_year_source,enabled,status,plant,plant_slug,tech,tech_name,plant_type,substation,region,edgs_scenario,edgs_earliest_commissioning_year,edgs_fixed_commissioning_year,topology,requires_hydro_asset,requires_vre_profile,commissioning_policy,builder_version
solar_bay_of_plenty_rangitaiki_solar_stage_2,solar,bay_of_plenty,solar,solar_bay_of_plenty_rangitaiki_solar_stage_2,150.000000,0.000000,1.000000,2026,2026,,flexible,edgs_fixed_commissioning_year_treated_as_candidate_availability,True,Fully consented,Rangitāiki solar (Stage 2),rangitaiki_solar_stage_2,Solar,Solar,PELE,RNG,Bay of Plenty,Reference,,2026,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_bay_of_plenty_rangitaiki_solar_stage_3,solar,bay_of_plenty,solar,solar_bay_of_plenty_rangitaiki_solar_stage_3,100.000000,0.000000,1.000000,2027,2027,,flexible,edgs_fixed_commissioning_year_treated_as_candidate_availability,True,Fully consented,Rangitāiki solar (Stage 3),rangitaiki_solar_stage_3,Solar,Solar,PELE,RNG,Bay of Plenty,Reference,,2027,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_bay_of_plenty_waiotahe_solar_farm,solar,bay_of_plenty,solar,solar_bay_of_plenty_waiotahe_solar_farm,81.000000,0.000000,1.000000,2030,2030,,flexible,assumed_from_status_fully_consented,True,Fully consented,Waiotahe solar farm,waiotahe_solar_farm,Solar,Solar,PELE,WAI,Bay of Plenty,Reference,,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
bio_reciprocating_canterbury_generic_reciprocating_biogas_2_christchurch,bio_reciprocating,canterbury,bio_reciprocating,bio_reciprocating_canterbury_generic_reciprocating_biogas_2_christchurch,10.000000,0.000000,1.000000,2035,2035,,flexible,edgs_earliest_commissioning_year,True,Generic,Generic Reciprocating Biogas: 2 (Christchurch),generic_reciprocating_biogas_2_christchurch,BioRecip,Reciprocating Biogas engine,PELE,ISL,Canterbury,Reference,2035,,14,False,False,status_first,2026-09-02-central-costs-scenarios-availability
hydro_peaking_canterbury_lake_pukaki_hydro_plant,hydro_peaking,canterbury,hydro_peaking,hydro_peaking_canterbury_lake_pukaki_hydro_plant,35.000000,0.000000,1.000000,2040,2040,,flexible,assumed_from_status_consent_lapsed,True,Consent lapsed,Lake Pūkaki hydro plant,lake_pukaki_hydro_plant,HydPK,"Hydro, peaking",PELE,TWZ,Canterbury,Reference,,,14,True,False,status_first,2026-09-02-central-costs-scenarios-availability
hydro_run_of_river_canterbury_bush_stream_hydro_plant,hydro_run_of_river,canterbury,hydro_run_of_river,hydro_run_of_river_canterbury_bush_stream_hydro_plant,30.000000,0.000000,1.000000,2035,2035,,flexible,assumed_from_status_generic,True,Generic,Bush Stream hydro plant,bush_stream_hydro_plant,HydRR,"Hydro, run of river",PELE,HOR,Canterbury,Reference,,,14,True,False,status_first,2026-09-02-central-costs-scenarios-availability
hydro_run_of_river_canterbury_clarence_hydro_waiau_diversions,hydro_run_of_river,canterbury,hydro_run_of_river,hydro_run_of_river_canterbury_clarence_hydro_waiau_diversions,70.000000,0.000000,1.000000,2035,2035,,flexible,assumed_from_status_generic,True,Generic,Clarence hydro: Waiau Diversions,clarence_hydro_waiau_diversions,HydRR,"Hydro, run of river",PELE,CUL,Canterbury,Reference,,,14,True,False,status_first,2026-09-02-central-costs-scenarios-availability
hydro_run_of_river_canterbury_potts_river_hydro,hydro_run_of_river,canterbury,hydro_run_of_river,hydro_run_of_river_canterbury_potts_river_hydro,35.000000,0.000000,1.000000,2035,2035,,flexible,assumed_from_status_generic,True,Generic,Potts River hydro,potts_river_hydro,HydRR,"Hydro, run of river",PELE,HOR,Canterbury,Reference,,,14,True,False,status_first,2026-09-02-central-costs-scenarios-availability
hydro_run_of_river_canterbury_rakaia_river_dam,hydro_run_of_river,canterbury,hydro_run_of_river,hydro_run_of_river_canterbury_rakaia_river_dam,3.000000,0.000000,1.000000,2040,2040,,flexible,assumed_from_status_potential,True,Potential,Rakaia River dam,rakaia_river_dam,HydRR,"Hydro, run of river",PELE,ASB,Canterbury,Reference,,,14,True,False,status_first,2026-09-02-central-costs-scenarios-availability
hydro_storage_canterbury_christchurch_hydro_scheme_embedded,hydro_storage,canterbury,hydro_storage,hydro_storage_canterbury_christchurch_hydro_scheme_embedded,26.800000,0.000000,1.000000,,,,existing,edgs_status_current,True,Current,Christchurch hydro scheme (embedded),christchurch_hydro_scheme_embedded,HydSC,"Hydro, schedulable",PELE,CUL,Canterbury,Reference,,,14,True,False,status_first,2026-09-02-central-costs-scenarios-availability
